iter	MAE
0	990.9701512
1	962.1003571
2	934.8773382
3	907.3982239
4	882.1012206
5	860.0953459
6	834.3608399
7	810.9250093
8	789.8070212
9	769.2432773
10	751.1025963
11	732.8292639
12	715.0358136
13	697.1610066
14	682.5688609
15	665.7413277
16	650.2527762
17	635.8818077
18	620.960717
19	607.8734348
20	594.3959097
21	583.9744401
22	571.7546777
23	559.287533
24	550.7081842
25	541.3833182
26	532.6588459
27	523.5157139
28	515.2003673
29	506.1468937
30	499.1747726
31	490.1793006
32	484.3367596
33	476.1482814
34	468.4799062
35	460.6773181
36	452.6861286
37	445.9867351
38	440.1018312
39	434.2189749
40	428.7272035
41	422.7308413
42	417.9882047
43	413.7453159
44	407.8254073
45	402.0640053
46	397.7986367
47	393.0238808
48	387.7548948
49	383.2060794
50	377.9532698
51	373.8096593
52	369.0811152
53	364.692235
54	361.4063535
55	357.2322683
56	353.3748393
57	349.4805478
58	347.1239986
59	344.5307718
60	341.8020006
61	338.7432178
62	335.8819665
63	332.7761544
64	330.4709593
65	327.9979132
66	325.305691
67	323.1564173
68	320.3908506
69	318.3803698
70	315.8314043
71	313.6560548
72	311.1097417
73	309.2147882
74	307.3624586
75	305.0943227
76	303.4380509
77	301.8341816
78	299.9873209
79	298.2315856
80	296.6727544
81	295.2548038
82	293.3127981
83	291.8434986
84	290.4339935
85	288.6858104
86	287.0002367
87	284.9157462
88	283.7011082
89	282.4349414
90	281.2129483
91	279.7477434
92	278.1913809
93	276.3155181
94	274.8181704
95	273.3675435
96	271.9495223
97	270.642122
98	269.7067571
99	268.0545815
100	266.6760738
101	265.4920614
102	264.4736061
103	263.3907541
104	262.033577
105	261.1415825
106	260.2232048
107	259.207163
108	258.1118105
109	257.0332106
110	255.8939262
111	254.9373031
112	254.2071317
113	253.5067207
114	252.7360718
115	251.8434298
116	251.0892624
117	250.5631353
118	249.8808775
119	249.0227801
120	248.0412902
121	247.5524476
122	246.563387
123	245.7213769
124	244.9875463
125	244.1359097
126	243.3884953
127	242.7977398
128	242.1381607
129	241.3997576
130	240.556788
131	239.963301
132	239.3218711
133	238.8058811
134	238.2656118
135	237.9103237
136	237.3622681
137	236.8041138
138	236.2105274
139	235.569281
140	235.2321014
141	234.4193576
142	233.7380949
143	233.1566775
144	232.6922267
145	232.1515613
146	231.7379469
147	231.1397317
148	230.5133629
149	230.1483351
150	229.589041
151	229.0981629
152	228.6428089
153	228.0872005
154	227.4851024
155	226.9312509
156	226.5624452
157	225.9850051
158	225.507624
159	225.0094846
160	224.5725374
161	224.0910394
162	223.6569397
163	223.4389306
164	223.0764918
165	222.6391524
166	222.3089314
167	221.9387334
168	221.6628088
169	221.1146922
170	220.4941634
171	220.2179166
172	219.7822707
173	219.5667619
174	219.2756816
175	218.9472799
176	218.5663708
177	218.2040979
178	217.9925757
179	217.7496169
180	217.4779565
181	217.2761975
182	216.9090432
183	216.7088452
184	216.4711831
185	215.9982443
186	215.605054
187	215.3495885
188	214.9678072
189	214.6476301
190	214.1711924
191	213.9074507
192	213.617387
193	213.3623437
194	213.0667643
195	212.7149233
196	212.4703086
197	212.2325325
198	211.8731349
199	211.3217947
200	210.7584868
201	210.4178637
202	209.9679237
203	209.455813
204	208.9634172
205	208.6167854
206	208.2812315
207	207.8029752
208	207.5671595
209	206.9277339
210	206.6229512
211	206.2778955
212	206.1239755
213	205.7855051
214	205.5271086
215	205.2502571
216	204.862309
217	204.3998403
218	204.2374886
219	203.8254784
220	203.6107396
221	203.3701701
222	203.1396775
223	202.7998036
224	202.4979442
225	202.2713544
226	202.02302
227	201.731492
228	201.5663371
229	201.2340191
230	200.9759189
231	200.691537
232	200.4655376
233	200.3268044
234	200.1903864
235	199.7970917
236	199.3295191
237	199.2114704
238	198.9123869
239	198.741314
240	198.2787522
241	197.909516
242	197.6468783
243	197.3885948
